time,Buitentemperatuur,Export beperking,Globale straling,PV Opgewekte energie totaal
18/01/2025 21:35,-1,0,0,0
18/01/2025 21:40,-1.1,0,0,0
18/01/2025 21:45,-1,0,0,0
18/01/2025 21:50,-1,0,0,0
18/01/2025 21:55,-1,0,0,0
18/01/2025 22:00,-0.8,0,0,0
18/01/2025 22:05,-0.8,0,0,0
18/01/2025 22:10,-0.8,0,0,0
18/01/2025 22:15,-1,0,0,0
18/01/2025 22:20,-1,0,0,0
18/01/2025 22:25,-1,0,0,0
18/01/2025 22:30,-1,0,0,0
18/01/2025 22:35,-1,0,0,0
18/01/2025 22:40,-1,0,0,0
18/01/2025 22:45,-1,0,0,0
18/01/2025 22:50,-1,0,0,0
18/01/2025 22:55,-1,0,0,0
18/01/2025 23:00,-1.1,0,0,0
18/01/2025 23:05,-1.2,0,0,0
18/01/2025 23:10,-1,0,0,0
18/01/2025 23:15,-0.9,0,0,0
18/01/2025 23:20,-1.1,0,0,0
18/01/2025 23:25,-1.1,0,0,0
18/01/2025 23:30,-1.1,0,0,0
18/01/2025 23:35,-1.4,0,0,0
18/01/2025 23:40,-1.2,0,0,0
18/01/2025 23:45,-1.2,0,0,0
18/01/2025 23:50,-1.3,0,0,0
18/01/2025 23:55,-1,0,0,0
19/01/2025 00:00,-1.4,0,0,0
