time;Buitentemperatuur;Export beperking;Globale straling
"18/01/2025 20:10:00";-1.1;0;0
"18/01/2025 20:15:00";-1.1;0;0
"18/01/2025 20:20:00";-1.1;0;0
"18/01/2025 20:25:00";-1;0;0
"18/01/2025 20:30:00";-1;0;0
"18/01/2025 20:35:00";-1;0;0
"18/01/2025 20:40:00";-0.8;0;0
"18/01/2025 20:45:00";-1;0;0
"18/01/2025 20:50:00";-1;0;0
"18/01/2025 20:55:00";-1.2;0;0
"18/01/2025 21:00:00";-0.8;0;0
"18/01/2025 21:05:00";-1.1;0;0
"18/01/2025 21:10:00";-1.1;0;0
"18/01/2025 21:15:00";-1.4;0;0
"18/01/2025 21:20:00";-1.3;0;0
"18/01/2025 21:25:00";-1.1;0;0
"18/01/2025 21:30:00";-1;0;0
"18/01/2025 21:35:00";-1;0;0
"18/01/2025 21:40:00";-1.1;0;0
"18/01/2025 21:45:00";-1;0;0
"18/01/2025 21:50:00";-1;0;0
"18/01/2025 21:55:00";-1;0;0
"18/01/2025 22:00:00";-0.8;0;0
"18/01/2025 22:05:00";-0.8;0;0
"18/01/2025 22:10:00";-0.8;0;0
"18/01/2025 22:15:00";-1;0;0
"18/01/2025 22:20:00";-1;0;0
"18/01/2025 22:25:00";-1;0;0
"18/01/2025 22:30:00";-1;0;0
"18/01/2025 22:35:00";-1;0;0
"18/01/2025 22:40:00";-1;0;0
"18/01/2025 22:45:00";-1;0;0
"18/01/2025 22:50:00";-1;0;0
"18/01/2025 22:55:00";-1;0;0
"18/01/2025 23:00:00";-1.1;0;0
"18/01/2025 23:05:00";-1.2;0;0
"18/01/2025 23:10:00";-1;0;0
"18/01/2025 23:15:00";-0.9;0;0
"18/01/2025 23:20:00";-1.1;0;0
"18/01/2025 23:25:00";-1.1;0;0
"18/01/2025 23:30:00";-1.1;0;0
"18/01/2025 23:35:00";-1.4;0;0
"18/01/2025 23:40:00";-1.2;0;0
"18/01/2025 23:45:00";-1.2;0;0
"18/01/2025 23:50:00";-1.3;0;0
"18/01/2025 23:55:00";-1;0;0
"19/01/2025 00:00:00";-1.4;0;0
